index,genres,keywords,tagline,title,cast,director
2896,Comedy Drama Thriller,,,"A Woman, a Gun and a Noodle Shop",Sun Honglei Xiao Shen Yang Yan Ni Ni Dahong Zhao Benshan,Zhang Yimou
2897,Thriller Science Fiction Mystery,double life undercover lie wife company,Never forget who you are,Cypher,Jeremy Northam Lucy Liu Nigel Bennett Timothy Webber David Hewlett,Vincenzo Natali
2898,Drama History War,war crimes mass murder war victim sino japanese war massacre,,City of Life and Death,Liu Ye Gao Yuanyuan Hideo Nakaizumi John Paisley Beverly Peckous,Lu Chuan
2899,Animation Family Action Adventure Comedy,,From zero to hero.,Legend of a Rabbit,Jon Heder Tom Arnold Michael Clarke Duncan Rebecca Black Claire Geare,Lijun Sun
2900,Science Fiction,,,Space Battleship Yamato,Hiroyuki Ikeuchi Takuya Kimura Meisa Kuroki Toshir\u014d Yanagiba Tsutomu Yamazaki,Takashi Yamazaki
2901,War Drama,journalist interpreter georgia europe war zone,Their only weapon is the truth.,5 Days of War,Rupert Friend Val Kilmer Andy Garc\u00eda Dean Cain Emmanuelle Chriqui,Renny Harlin
2902,Horror,ocean florida autism key yacht,A Passage to Hell,Triangle,Melissa George Liam Hemsworth Emma Lung Rachael Carpani Michael Dorman,Christopher Smith
2903,Drama,undercover insane asylum reporter,,10 Days in a Madhouse,Caroline Barry Christopher Lambert Kelly LeBrock Julia Chantrey Alexandra Callas,Timothy Hines
2904,Drama,based on novel faith based on true events,Unlock the mystery,Heaven is for Real,Greg Kinnear Kelly Reilly Connor Corum Thomas Haden Church Jon Ted Wynne,Randall Wallace
2905,Thriller Crime,gypsy bare knuckle boxing slang trailer park pig,Stealin' Stones and Breakin' Bones.,Snatch,Jason Statham Brad Pitt Vinnie Jones Dennis Farina Benicio del Toro,Guy Ritchie
2906,Drama Romance,dancing competition hotel florida dance teacher,Dancin' Like You've Never Seen Before,Dancin' It's On,Witney Carson Chehon Wespi-Tschopp Gary Daniels David Winters Jordan Clark,David Winters
2907,Drama Horror,coffin pet funeral head injury grief,Sometimes dead is better.,Pet Sematary,Dale Midkiff Fred Gwynne Denise Crosby Brad Greenquist Michael Lombard,Mary Lambert
2908,Drama,,,Madadayo,Tatsuo Matsumura Ky\u00f4ko Kagawa Hisashi Igawa George Tokoro Masayuki Yui,Akira Kurosawa
2909,Drama,suspense,What would you do if someone was watching you?,The Cry of the Owl,Paddy Considine Julia Stiles Caroline Dhavernas James Gilbert Karl Pruner,Jamie Thraves
2910,Drama History Romance,woman director,,A Tale of Three Cities,Lau Ching-Wan Tang Wei Qin Hailu Jing Boran ,Mabel Cheung
2911,Fantasy Horror Comedy,holiday monster small town department store bars and restaurants,"Don't get him wet, keep him out of bright light, and never feed him after midnight.",Gremlins,Zach Galligan Phoebe Cates Hoyt Axton Polly Holliday Dick Miller,Joe Dante
2912,Adventure Action Science Fiction,android galaxy hermit death star lightsaber,"A long time ago in a galaxy far, far away...",Star Wars,Mark Hamill Harrison Ford Carrie Fisher Peter Cushing Alec Guinness,George Lucas
2913,Comedy,grandfather grandson relationship grandfather road trip wedding retired,This is Jason. He's a little worried about his grandpa.,Dirty Grandpa,Zac Efron Robert De Niro Julianne Hough Aubrey Plaza Dermot Mulroney,Dan Mazer
2914,Drama Romance War,love triangle nurse suicide attempt loss of family world war i,"Turbulent were the times and fiery was the love story of Zhivago, his wife and the passionate, tender Lara.",Doctor Zhivago,Omar Sharif Julie Christie Geraldine Chaplin Rod Steiger Alec Guinness,David Lean
2915,Adventure Crime Drama Thriller,brazilian drama thriller,You never know what you might find,Trash,Rickson Tevez Eduardo Luis Gabriel Weinstein Rooney Mara Selton Mello,Stephen Daldry
2916,Comedy Drama Family Music Romance,musical music high school coming of age teenager,,High School Musical 3: Senior Year,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,Kenny Ortega
2917,Drama,sport irish american documentary crew lowell massachusetts blue collar worker,Every dream deserves a fighting chance.,The Fighter,Mark Wahlberg Christian Bale Amy Adams Melissa Leo Mickey O'Keefe,David O. Russell
2918,Action Comedy Documentary,wound disgust pain stunts stuntman,Guess who just made number two?,Jackass Number Two,Johnny Knoxville Bam Margera Steve-O Chris Pontius Ryan Dunn,Jeff Tremaine
2919,Comedy Drama,prison southern usa suspicion cousin court,"Truth, Justice and the Gambini Way",My Cousin Vinny,Joe Pesci Ralph Macchio Marisa Tomei Mitchell Whitfield Fred Gwynne,Jonathan Lynn
2920,Drama,coma musician teenage girl car accident teenager,Live for Love.,If I Stay,Chlo\u00eb Grace Moretz Jamie Blackley Liana Liberato Mireille Enos Stacy Keach,R.J. Cutler
2921,Action Comedy Crime,,One Hell of A Ride,Drive Hard,Thomas Jane John Cusack Zoe Ventoura Damien Garvey Christopher Morris,Brian Trenchard-Smith
2922,Comedy,baseball sport sabotage sombrero baseball field,A comedy with bats and balls.,Major League,Tom Berenger Charlie Sheen Corbin Bernsen Margaret Whitton James Gammon,David S. Ward
2923,Comedy Family Science Fiction,solidarity snake exhibit musical shenanigan,Taking higher education to a new low.,St. Trinian's,Talulah Riley Rupert Everett Gemma Arterton Colin Firth Lena Headey,Barnaby Thompson
2924,Thriller Drama,terrorist phone booth psychopath,No options. No lies. No fear. No deals. Just keep talking.,Phone Booth,Colin Farrell Kiefer Sutherland Forest Whitaker Radha Mitchell Katie Holmes,Joel Schumacher
2925,Drama Romance,based on novel theatre group north carolina theatre milieu high school,She didn't belong. She was misunderstood. And she would change him forever.,A Walk to Remember,Mandy Moore Shane West Peter Coyote Daryl Hannah Lauren German,Adam Shankman
2926,Drama,prison rape socially deprived family penalty death penalty,,Dead Man Walking,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey,Tim Robbins
2927,Drama Romance Thriller,upper class sexual obsession sex bet sadistic,"In the game of seduction, There is only one rule: Never fall in love.",Cruel Intentions,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon Selma Blair Louise Fletcher,Roger Kumble
2928,Horror Mystery,aftercreditsstinger,The Game Has Come Full Circle,Saw VI,Tobin Bell Costas Mandylor Betsy Russell Mark Rolston Peter Outerbridge,Kevin Greutert
2929,Comedy,moses roman empire musical stone age music,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!",History of the World: Part I,Mel Brooks Dom DeLuise Madeline Kahn Harvey Korman Cloris Leachman,Mel Brooks
2930,Adventure,woman director,"Bring Your Girlfriends, Sisters, Mothers and Daughters.",The Secret Life of Bees,Dakota Fanning Queen Latifah Jennifer Hudson Sophie Okonedo Alicia Keys,Gina Prince-Bythewood
2931,Action Comedy Crime,,Undercover and Out The Way!,Corky Romano,Chris Kattan Vinessa Shaw Peter Falk Peter Berg Chris Penn,Rob Pritts
2932,Drama Horror Thriller Crime,,Demented. Deranged. Deceptive. De Palma.,Raising Cain,John Lithgow Lolita Davidovich Steven Bauer Frances Sternhagen Gregg Henry,Brian De Palma
2933,Drama Action,,,F.I.S.T.,Sylvester Stallone Rod Steiger Peter Boyle Melinda Dillon David Huffman,Norman Jewison
2934,Science Fiction,space invasion remake alien invasion,Their conquest has already begun... He know they're here.,Invaders from Mars,Karen Black Hunter Carson Timothy Bottoms Laraine Newman James Karen,Tobe Hooper
2935,Drama Romance,love triangle based on novel homesickness vororte ship,"Two countries, two loves, one heart",Brooklyn,Saoirse Ronan Domhnall Gleeson Emory Cohen Jim Broadbent Julie Walters,John Crowley
2936,Drama Romance War,palace british army fencing epic debt,At long last Redmond Barry became a gentleman - and that was his tragedy.,Barry Lyndon,Ryan O'Neal Marisa Berenson Hardy Kr\u00fcger Diana K\u00f6rner Frank Middlemass,Stanley Kubrick
2937,Comedy,manager alcohol races mountains gondola,"They haven't quite figured it all out, but they're getting a little warmer.",Out Cold,Jason London Lee Majors Zach Galifianakis Victoria Silvstedt David Koechner,Brendan Malloy
2938,Comedy,female nudity tattoo radio cheat on husband eating contest,He's cool. He's clean. He's a love machine.,The Ladies Man,Tim Meadows Karyn Parsons Billy Dee Williams John Witherspoon Jill Talley,Reginald Hudlin
2939,Drama Comedy Romance,musician concert retired,Four Friends Looking For A Little Harmony,Quartet,Maggie Smith Tom Courtenay Billy Connolly Pauline Collins Michael Gambon,Dustin Hoffman
2940,Comedy Romance,compulsive gambling roulette stag night group of friends,The Last Man Standing Gets The Kitty.,Tomcats,Jerry O'Connell Shannon Elizabeth Jake Busey Horatio Sanz Bernie Casey,Gregory Poirier
2941,Drama Thriller Crime,angel sheriff loss of mother 1970s texas,No Soul Is Safe.,Frailty,Bill Paxton Matthew McConaughey Powers Boothe Matt O'Leary Jeremy Sumpter,Bill Paxton
2942,Drama,nazis based on true story art stolen painting,Justice is priceless.,Woman in Gold,Helen Mirren Ryan Reynolds Tatiana Maslany Katie Holmes Max Irons,Simon Curtis
2943,Drama,free love sex sexuality indiana professor,Let's talk about sex,Kinsey,Liam Neeson Laura Linney Chris O'Donnell Peter Sarsgaard Timothy Hutton,Bill Condon
2944,Fantasy Horror Comedy,prophecy witch swordplay supermarket castle,Trapped in time. Surrounded by evil. Low on gas.,Army of Darkness,Bruce Campbell Embeth Davidtz Marcus Gilbert Ian Abercrombie Richard Grove,Sam Raimi
2945,Comedy Romance,male nudity drug abuse job interview eavesdropping fall,When all else fails... cheat.,Slackers,Jason Segel Devon Sawa Jason Schwartzman Jaime King Cameron Diaz,Dewey Nicks
2946,Romance Drama,brother brother relationship mentally disabled iowa widow dysfunctional family,A film about the love you find...In the last place you look.,What's Eating Gilbert Grape,Johnny Depp Leonardo DiCaprio Juliette Lewis Darlene Cates Mary Steenburgen,Lasse Hallstr\u00f6m
2947,Drama History,miracle jesus christ last supper bible christian,For God loved the world So much...,The Visual Bible: The Gospel of John,Christopher Plummer Henry Ian Cusick Stuart Bunce Daniel Kash Stephen Russell,Philip Saville
2948,Crime Drama,england mother role women's prison police neighbor,Wife. Mother. Criminal.,Vera Drake,Imelda Staunton Sally Hawkins Richard Graham Eddie Marsan Anna Keaveney,Mike Leigh
2949,Comedy Romance,sex indian lead dancing master new love porn actor,"When he talks, women listen.",The Guru,Jimi Mistry Heather Graham Marisa Tomei Michael McKean Dash Mihok,Daisy von Scherler Mayer
2950,Comedy Drama Romance,immigration independent film woman director political prisoner cuban refugees,"On the way to finding a family, she found love.",The Perez Family,Marisa Tomei Alfred Molina Anjelica Huston Chazz Palminteri Trini Alvarado,Mira Nair
2951,Drama Music,folk music performance aspiring singer new york city recording,,Inside Llewyn Davis,Oscar Isaac Carey Mulligan Justin Timberlake Jerry Grayson Robin Bartlett,Joel Coen
2952,Drama Romance Thriller,sex jealousy girlfriend high school columbine,Trust. Seduction. Betrayal.,O,Mekhi Phifer Josh Hartnett Andrew Keegan Julia Stiles Martin Sheen,Tim Blake Nelson
2953,Drama Adventure Romance,island marooned pacific island teenager deserted island,"Return to the Romance, Return to the Adventure...",Return to the Blue Lagoon,Milla Jovovich Brian Krause Lisa Pelikan Courtney Barilla Garette Ratliff Henson,William A. Graham
2954,Drama History,pennsylvania miner coal mining coal mine pennsylvania coal miner,,The Molly Maguires,Sean Connery Samantha Eggar Richard Harris Frank Finlay Anthony Zerbe,Martin Ritt
2955,Comedy Music Romance,infidelity lovers working class new york city,,Romance & Cigarettes,James Gandolfini Susan Sarandon Kate Winslet Steve Buscemi Mandy Moore,John Turturro
2956,Drama,beethoven woman director,,Copying Beethoven,Ed Harris Diane Kruger Matthew Goode Phyllida Law Ralph Riach,Agnieszka Holland
2957,Drama Thriller Crime,waitress riot gang war nightmare prayer,Love. Murder. Revenge.,Brighton Rock,Andy Serkis Helen Mirren John Hurt Sam Riley Andrea Riseborough,Rowan Joffe
2958,Horror Thriller Crime,blood splatter serial killer pig mask nazi jigsaw,You Won't Believe How It Ends,Saw V,Tobin Bell Costas Mandylor Scott Patterson Betsy Russell Mark Rolston,David Hackl
2959,Drama Action Thriller Crime Foreign,mobster,Even the Mafia Calls Him Mister!,Machine Gun McCain,John Cassavetes Britt Ekland Peter Falk Gabriele Ferzetti Margherita Guzzinati,Giuliano Montaldo
2960,Drama Comedy Romance,coming of age mother daughter relationship teen movie teenager based on film,"You can change your status, but not your heart.",LOL,Miley Cyrus Demi Moore Douglas Booth Ashley Greene Ashley Hinshaw,Lisa Azuelos
2961,Crime Drama Mystery Thriller,small town fishing male friendship australia marriage crisis,Under the surface of every life lies a mystery,Jindabyne,Laura Linney Gabriel Byrne Deborra-Lee Furness John Howard Leah Purcell,Ray Lawrence
2962,Drama Romance,adultery extramarital affair,A Love.... That Broke All Relationships,Kabhi Alvida Naa Kehna,Shah Rukh Khan Rani Mukerji Preity Zinta Abhishek Bachchan Amitabh Bachchan,Karan Johar
2963,Drama Comedy Romance,,He just doesn't know it yet.,An Ideal Husband,Cate Blanchett Minnie Driver Rupert Everett Julianne Moore Jeremy Northam,Oliver Parker
2964,Science Fiction Thriller Horror,mars science fiction zombie,The search for life is about to end.,The Last Days on Mars,Liev Schreiber Romola Garai Elias Koteas Olivia Williams Johnny Harris,Ruairi Robinson
2965,Horror,loss of child solar eclipse haunted house family psychopathy,A house. A past. A secret. Will you dare enter?,Darkness,Anna Paquin Lena Olin Iain Glen Giancarlo Giannini Fele Mart\u00ednez,Jaume Balaguer\u00f3
2966,Science Fiction Mystery Adventure,moon jupiter artificial intelligence man vs machine technology,An epic drama of adventure and exploration,2001: A Space Odyssey,Keir Dullea Gary Lockwood William Sylvester Douglas Rain Daniel Richter,Stanley Kubrick
2967,Science Fiction Adventure Family Fantasy,farewell homesickness nasa extraterrestrial technology operation,He is afraid. He is alone. He is three million light years from home.,E.T. the Extra-Terrestrial,Henry Thomas Drew Barrymore Robert MacNaughton Dee Wallace Peter Coyote,Steven Spielberg
2968,Romance Comedy Drama,infidelity party love cancer neighbor,Get ready to fall,In the Land of Women,Meg Ryan Kristen Stewart Adam Brody JoBeth Williams Olympia Dukakis,Jon Kasdan
2969,Adventure Drama Family,rain butterfly rainforest woman director insects,,The Blue Butterfly,Marc Donato Pascale Bussi\u00e8res William Hurt Raoul Max Trujillo Steve Adams,L\u00e9a Pool
2970,Drama Comedy,,,There Goes My Baby,Dermot Mulroney Ricky Schroder Kelli Williams Noah Wyle Lucy Deakins,Floyd Mutrux
2971,Drama Comedy Romance Foreign,,"He found the girl of his dreams, he fell in love and he got married... to all three.",Housefull,Akshay Kumar Ritesh Deshmukh Deepika Padukone Lara Dutta Jiah Khan,Sajid Khan
2972,Drama Action History Western Romance,,,September Dawn,Jon Voight Tamara Hope Trent Ford Lolita Davidovich Dean Cain,Christopher Cain
2973,History Drama,duringcreditsstinger,The True Story of Cristiada,For Greater Glory - The True Story of Cristiada,Eva Longoria Andy Garc\u00eda Oscar Isaac Peter O'Toole Rub\u00e9n Blades,Dean Wright
2974,Comedy Drama Music,deafness music coming of age teenage girl singing,,The Bélier Family,Louane Emera Karin Viard Fran\u00e7ois Damiens Eric Elmosnino Roxane Duran,Eric Lartigau
